dbo.Personel;ad;nvarchar(200);NOT NULL;;
dbo.Personel;soyad;nvarchar(200);NOT NULL;;
dbo.Personel;tc_no;nvarchar(22);NULL;;
dbo.Personel;dogum_tarihi;date;NULL;;
dbo.Personel;dogum_yeri;nvarchar(200);NULL;;
dbo.Personel;cinsiyet;nvarchar(20);NULL;;
dbo.Personel;baba_adi;nvarchar(200);NULL;;
dbo.Personel;ana_adi;nvarchar(200);NULL;;
dbo.Personel;medeni_hali;nvarchar(40);NULL;;
dbo.Personel;kimlik_seri;nvarchar(20);NULL;;
dbo.Personel;kimlik_no;nvarchar(40);NULL;;
dbo.Personel;telefon;nvarchar(40);NULL;;
dbo.Personel;cep_telefonu;nvarchar(40);NULL;;
dbo.Personel;email;nvarchar(200);NULL;;
dbo.Personel;adres;nvarchar(1000);NULL;;
dbo.Personel;il;nvarchar(100);NULL;;
dbo.Personel;ilce;nvarchar(100);NULL;;
dbo.Personel;posta_kodu;nvarchar(20);NULL;;
dbo.Personel;departman_id;bigint;NULL;;
dbo.Personel;pozisyon_id;bigint;NULL;;
dbo.Personel;unvan;nvarchar(200);NULL;;
dbo.Personel;ise_giris_tarihi;date;NULL;;
dbo.Personel;isten_cikis_tarihi;date;NULL;;
dbo.Personel;vardiya_id;bigint;NULL;;
dbo.Personel;sgk_no;nvarchar(100);NULL;;
dbo.Personel;kan_grubu;nvarchar(20);NULL;;
dbo.Personel;egitim_durumu;nvarchar(100);NULL;;
dbo.Personel;acil_durum_kisi;nvarchar(400);NULL;;
dbo.Personel;ikamet_durumu;nvarchar(100);NULL;;
dbo.Personel;beden_olcusu;nvarchar(40);NULL;;
dbo.Personel;ayakkabi_no;nvarchar(20);NULL;;
dbo.Personel;maas;decimal(18,2);NULL;;
dbo.Personel;kira_tutari;decimal(18,2);NULL;;
dbo.Personel;yillik_izin_hakki;int;NULL;;
dbo.Personel;ozel_kod;nvarchar(100);NULL;;
dbo.Personel;notlar;nvarchar(MAX);NULL;;
dbo.Personel;foto_yolu;nvarchar(1000);NULL;;
dbo.Personel;sifre;nvarchar(510);NULL;;
dbo.Personel;son_giris;datetime2;NULL;;
dbo.Personel;son_cikis;datetime2;NULL;;
dbo.Personel;gunluk_durum;nvarchar(100);NULL;;
dbo.Personel;kontrol_atla;bit;NULL;;
dbo.Personel;aktif_mi;bit;NOT NULL;;
dbo.Personel;olusturma_tarihi;datetime2;NOT NULL;;
dbo.Personel;guncelleme_tarihi;datetime2;NOT NULL;;
dbo.Personel;kaynak_employee_id;int;NULL;;
dbo.PLC_UretimPlani;id;bigint;NOT NULL;IDENTITY;PK
dbo.PLC_UretimPlani;planlama_id;bigint;NOT NULL;;
dbo.PLC_UretimPlani;is_emri_id;bigint;NOT NULL;;
dbo.PLC_UretimPlani;sira_no;int;NOT NULL;;
dbo.PLC_UretimPlani;is_emri_no;nvarchar(120);NOT NULL;;
dbo.PLC_UretimPlani;stok_kodu;nvarchar(200);NULL;;
dbo.PLC_UretimPlani;stok_adi;nvarchar(800);NULL;;
dbo.PLC_UretimPlani;lot_no;nvarchar(200);NULL;;
dbo.PLC_UretimPlani;cari_unvani;nvarchar(800);NULL;;
dbo.PLC_UretimPlani;hat_id;bigint;NOT NULL;;
dbo.PLC_UretimPlani;hat_kodu;nvarchar(80);NULL;;
dbo.PLC_UretimPlani;kaplama_tipi;nvarchar(200);NULL;;
dbo.PLC_UretimPlani;recete_no;int;NULL;;
dbo.PLC_UretimPlani;planlanan_bara;int;NOT NULL;;
dbo.PLC_UretimPlani;planlanan_miktar;decimal(18,4);NULL;;
dbo.PLC_UretimPlani;giren_bara;int;NULL;;
dbo.PLC_UretimPlani;cikan_bara;int;NULL;;
dbo.PLC_UretimPlani;uretilen_miktar;decimal(18,4);NULL;;
dbo.PLC_UretimPlani;fire_miktar;decimal(18,4);NULL;;
dbo.PLC_UretimPlani;planlama_tarihi;date;NOT NULL;;
dbo.PLC_UretimPlani;vardiya_id;bigint;NULL;;
dbo.PLC_UretimPlani;vardiya_kodu;nvarchar(40);NULL;;
dbo.PLC_UretimPlani;baslangic_zamani;datetime2;NULL;;
dbo.PLC_UretimPlani;bitis_zamani;datetime2;NULL;;
dbo.PLC_UretimPlani;durum;nvarchar(80);NULL;;
dbo.PLC_UretimPlani;erp_gonderim_zamani;datetime2;NULL;;
dbo.PLC_UretimPlani;plc_okuma_zamani;datetime2;NULL;;
dbo.PLC_UretimPlani;plc_guncelleme_zamani;datetime2;NULL;;
dbo.PLC_UretimPlani;erp_senkron_zamani;datetime2;NULL;;
dbo.PLC_UretimPlani;uretim_notu;nvarchar(MAX);NULL;;
dbo.PLC_UretimPlani;olusturma_tarihi;datetime2;NULL;;
dbo.PLC_UretimPlani;guncelleme_tarihi;datetime2;NULL;;
dbo.StokKartlari;id;int;NOT NULL;IDENTITY;PK
dbo.StokKartlari;stok_kodu;nvarchar(100);NOT NULL;;
dbo.StokKartlari;stok_adi;nvarchar(510);NULL;;
dbo.StokKartlari;stok_tur_id;nvarchar(100);NULL;;
dbo.StokKartlari;stok_turu;nvarchar(200);NULL;;
dbo.StokKartlari;hesap_kodu;nvarchar(100);NULL;;
dbo.StokKartlari;cari_unvani;nvarchar(510);NULL;;
dbo.StokKartlari;musteri_stok_kodu;nvarchar(200);NULL;;
dbo.StokKartlari;ana_grup_no;nvarchar(100);NULL;;
dbo.StokKartlari;ana_grup_adi;nvarchar(200);NULL;;
dbo.StokKartlari;birim1;nvarchar(40);NULL;;
dbo.StokKartlari;birim2;nvarchar(40);NULL;;
dbo.StokKartlari;ambar_no;nvarchar(100);NULL;;
dbo.StokKartlari;ambar_adi;nvarchar(200);NULL;;
dbo.StokKartlari;raf_no;nvarchar(100);NULL;;
dbo.StokKartlari;raf_adi;nvarchar(200);NULL;;
dbo.StokKartlari;depo_kodu;nvarchar(100);NULL;;
dbo.StokKartlari;kalinlik;nvarchar(100);NULL;;
dbo.StokKartlari;kalinlik_min;nvarchar(100);NULL;;
dbo.StokKartlari;kalinlik_max;nvarchar(100);NULL;;
dbo.StokKartlari;kalinlik_birim;nvarchar(40);NULL;;
dbo.StokKartlari;en;nvarchar(100);NULL;;
dbo.StokKartlari;boy;nvarchar(100);NULL;;
dbo.StokKartlari;yukseklik;nvarchar(100);NULL;;
dbo.StokKartlari;cap;nvarchar(100);NULL;;
dbo.StokKartlari;agirlik;nvarchar(100);NULL;;
dbo.StokKartlari;brut_kg;nvarchar(100);NULL;;
dbo.StokKartlari;net_kg;nvarchar(100);NULL;;
dbo.StokKartlari;m2;nvarchar(100);NULL;;
dbo.StokKartlari;delik_sayisi;nvarchar(100);NULL;;
dbo.StokKartlari;oyuk_sayisi;nvarchar(100);NULL;;
dbo.StokKartlari;kaplama_tipi;nvarchar(100);NULL;;
dbo.StokKartlari;kaplama_tip_adi;nvarchar(200);NULL;;
dbo.StokKartlari;operasyon_no;nvarchar(100);NULL;;
dbo.StokKartlari;operasyon_adi;nvarchar(200);NULL;;
dbo.StokKartlari;recete_no;nvarchar(100);NULL;;
dbo.StokKartlari;fason_fire_orani;nvarchar(100);NULL;;
dbo.StokKartlari;dehidrojenasyon_tip_adi;nvarchar(200);NULL;;
dbo.StokKartlari;lak_adi;nvarchar(200);NULL;;
dbo.StokKartlari;pasivasyon_adi;nvarchar(200);NULL;;
